Illness,Advice,See Doctor,Explanation
Fungal Infection,Use antifungal treatment and keep affected area clean and dry. See a doctor if symptoms worsen.,if symptoms worsen,"Infections caused by fungi, affecting skin, nails, or lungs, often itchy and scaly."
Allergy,Avoid allergens and use antihistamines. Seek immediate help if experiencing anaphylaxis.,immediately if severe symptoms,"Immune response to substances like pollen or nuts, causing symptoms from mild rashes to severe reactions."
GERD,"Manage diet and stress, use antacids, and consult a doctor if symptoms persist.",if symptoms persist,"Gastroesophageal reflux disease causes stomach acid to flow back into the esophagus, causing heartburn."
Chronic Cholestasis,"Maintain a healthy diet, avoid alcohol, and monitor liver function regularly.",regularly,"Liver condition impairing bile flow, causing jaundice, itching, and possibly liver damage."
Drug Reaction,Discontinue use of the drug under supervision and seek medical advice.,immediately,Adverse effects from medication that can range from mild skin irritation to severe health threats.
Peptic Ulcer Disease,"Avoid spicy foods, manage stress, and consult a doctor for persistent symptoms.",if symptoms persist,Open sores that develop on the inner lining of the stomach and the upper part of the small intestine.
AIDS,Maintain antiretroviral therapy and regular check-ups.,regularly,"Advanced stage of HIV infection, which severely damages the immune system, reducing resistance to other illnesses."
Diabetes,Manage blood sugar levels and consult a doctor regularly.,regularly,"Metabolic disorder characterized by high blood sugar levels over a prolonged period, affecting insulin function."
Gastroenteritis,Stay hydrated and consult a doctor if symptoms such as vomiting persist.,if symptoms persist,Inflammation of the stomach and intestines typically caused by bacterial or viral infections.
Bronchial Asthma,"Use prescribed inhalers, avoid triggers, and monitor air quality.",regularly,"Chronic inflammatory disease of the airways, causing episodes of wheezing, breathlessness, and chest tightness."
Hypertension,"Manage stress, diet, and exercise regularly; monitor blood pressure.",regularly,Long-term medical condition where the blood pressure in the arteries is persistently elevated.
Migraine,"Manage triggers, use pain relief medications, and consult a doctor if frequent.",if frequent,"Neurological condition known for intense, debilitating headaches often accompanied by nausea and sensitivity to light."
Cervical Spondylosis,"Exercise regularly, maintain posture, and use pain relief measures.",regularly,Age-related wear and tear affecting the spinal disks in your neck.
Paralysis (brain hemorrhage),Immediate medical attention required in the case of suspected paralysis.,immediately,"Loss of muscle function due to bleeding within the brain, which can affect areas controlling movement."
Jaundice,"Maintain hydration, use fever reducers, and consult a doctor if symptoms persist.",if symptoms persist,"Yellowing of the skin and eyes caused by high bilirubin levels, often indicating liver or bile duct problems."
Malaria,"Use mosquito repellents, stay in screened areas, and consult a doctor if symptoms appear.",if symptoms appear,"Life-threatening disease transmitted by mosquitoes carrying Plasmodium parasite, causing fever, chills, and flu-like illness."
Chickenpox,"Use topical ointments, keep hygiene, and consult a doctor if necessary.",if necessary,Highly contagious viral infection causing an itchy rash and flu-like symptoms.
Dengue,"Use mosquito repellents, stay in screened areas, and consult a doctor for symptoms.",for symptoms,Mosquito-borne viral infection causing severe flu-like symptoms and potentially lethal complications.
Typhoid,"Maintain hydration, use antibiotics as prescribed, and monitor symptoms.",monitor symptoms,"Bacterial infection due to Salmonella typhi, characterized by high fever, weakness, stomach pains, headache, and nausea."
Hepatitis A,Vaccination recommended; consult a doctor for liver function tests.,for liver function tests,"Liver disease spread primarily through contaminated food or water, leading to jaundice, fatigue, and stomach pain."
